Robust covariance,preds,im2d_names,distance,anomaly_names_3d,sum_3d,how_many_times_3d
0.560509545,-1,VMT_0014S_20181220095956.tif-76,0.439490455,VMT_0014S_20181220095956.tif,61.28022863,141
0.539205939,-1,VMT_0014S_20181220095956.tif-77,0.460794061,VMT_0014S_20181220095956.tif,61.28022863,141
0.602805473,-1,VMT_0014S_20181220095956.tif-78,0.397194527,VMT_0014S_20181220095956.tif,61.28022863,141
0.639410902,-1,VMT_0014S_20181220095956.tif-79,0.360589098,VMT_0014S_20181220095956.tif,61.28022863,141
0.519213951,-1,VMT_0014S_20181220095956.tif-8,0.480786049,VMT_0014S_20181220095956.tif,61.28022863,141
0.681675858,-1,VMT_0014S_20181220095956.tif-80,0.318324142,VMT_0014S_20181220095956.tif,61.28022863,141
0.671804026,-1,VMT_0014S_20181220095956.tif-81,0.328195974,VMT_0014S_20181220095956.tif,61.28022863,141
0.650942699,-1,VMT_0014S_20181220095956.tif-82,0.349057301,VMT_0014S_20181220095956.tif,61.28022863,141
0.625522539,-1,VMT_0014S_20181220095956.tif-83,0.374477461,VMT_0014S_20181220095956.tif,61.28022863,141
0.688024733,-1,VMT_0014S_20181220095956.tif-84,0.311975267,VMT_0014S_20181220095956.tif,61.28022863,141
0.623310035,-1,VMT_0014S_20181220095956.tif-85,0.376689965,VMT_0014S_20181220095956.tif,61.28022863,141
0.742564122,-1,VMT_0014S_20181220095956.tif-86,0.257435878,VMT_0014S_20181220095956.tif,61.28022863,141
0.735403998,-1,VMT_0014S_20181220095956.tif-87,0.264596002,VMT_0014S_20181220095956.tif,61.28022863,141
0.708997202,-1,VMT_0014S_20181220095956.tif-88,0.291002798,VMT_0014S_20181220095956.tif,61.28022863,141
0.761565306,-1,VMT_0014S_20181220095956.tif-89,0.238434694,VMT_0014S_20181220095956.tif,61.28022863,141
0.559026644,-1,VMT_0014S_20181220095956.tif-9,0.440973356,VMT_0014S_20181220095956.tif,61.28022863,141
0.76030534,-1,VMT_0014S_20181220095956.tif-90,0.23969466,VMT_0014S_20181220095956.tif,61.28022863,141
0.682032838,-1,VMT_0014S_20181220095956.tif-91,0.317967162,VMT_0014S_20181220095956.tif,61.28022863,141
0.747015034,-1,VMT_0014S_20181220095956.tif-92,0.252984966,VMT_0014S_20181220095956.tif,61.28022863,141
0.778624934,-1,VMT_0014S_20181220095956.tif-93,0.221375066,VMT_0014S_20181220095956.tif,61.28022863,141
0.761665139,-1,VMT_0014S_20181220095956.tif-94,0.238334861,VMT_0014S_20181220095956.tif,61.28022863,141
0.787429313,-1,VMT_0014S_20181220095956.tif-95,0.212570687,VMT_0014S_20181220095956.tif,61.28022863,141
0.778067873,-1,VMT_0014S_20181220095956.tif-96,0.221932127,VMT_0014S_20181220095956.tif,61.28022863,141
0.821311873,-1,VMT_0014S_20181220095956.tif-97,0.178688127,VMT_0014S_20181220095956.tif,61.28022863,141
0.737476115,-1,VMT_0014S_20181220095956.tif-98,0.262523885,VMT_0014S_20181220095956.tif,61.28022863,141
0.766495315,-1,VMT_0014S_20181220095956.tif-99,0.233504685,VMT_0014S_20181220095956.tif,61.28022863,141
0.846953517,-1,VMT_0018S_20160811094328.tif-125,0.153046483,VMT_0018S_20160811094328.tif,4.044692326,17
0.840284229,-1,VMT_0018S_20160811094328.tif-126,0.159715771,VMT_0018S_20160811094328.tif,4.044692326,17
0.799176368,-1,VMT_0018S_20160811094328.tif-127,0.200823632,VMT_0018S_20160811094328.tif,4.044692326,17
0.759109557,-1,VMT_0018S_20160811094328.tif-128,0.240890443,VMT_0018S_20160811094328.tif,4.044692326,17
0.794838619,-1,VMT_0018S_20160811094328.tif-129,0.205161381,VMT_0018S_20160811094328.tif,4.044692326,17
0.819080121,-1,VMT_0018S_20160811094328.tif-130,0.180919879,VMT_0018S_20160811094328.tif,4.044692326,17
0.812662252,-1,VMT_0018S_20160811094328.tif-131,0.187337748,VMT_0018S_20160811094328.tif,4.044692326,17
0.741425703,-1,VMT_0018S_20160811094328.tif-132,0.258574297,VMT_0018S_20160811094328.tif,4.044692326,17
0.722843394,-1,VMT_0018S_20160811094328.tif-133,0.277156606,VMT_0018S_20160811094328.tif,4.044692326,17
0.758127118,-1,VMT_0018S_20160811094328.tif-134,0.241872882,VMT_0018S_20160811094328.tif,4.044692326,17
0.741661476,-1,VMT_0018S_20160811094328.tif-135,0.258338524,VMT_0018S_20160811094328.tif,4.044692326,17
0.685981968,-1,VMT_0018S_20160811094328.tif-136,0.314018032,VMT_0018S_20160811094328.tif,4.044692326,17
0.763387355,-1,VMT_0018S_20160811094328.tif-137,0.236612645,VMT_0018S_20160811094328.tif,4.044692326,17
0.714539574,-1,VMT_0018S_20160811094328.tif-138,0.285460426,VMT_0018S_20160811094328.tif,4.044692326,17
0.73488007,-1,VMT_0018S_20160811094328.tif-139,0.26511993,VMT_0018S_20160811094328.tif,4.044692326,17
0.718942392,-1,VMT_0018S_20160811094328.tif-140,0.281057608,VMT_0018S_20160811094328.tif,4.044692326,17
0.701413961,-1,VMT_0018S_20160811094328.tif-141,0.298586039,VMT_0018S_20160811094328.tif,4.044692326,17
0.834150182,-1,VMT_0023S_20160927133506.tif-134,0.165849818,VMT_0023S_20160927133506.tif,1.614627064,8
0.852852519,-1,VMT_0023S_20160927133506.tif-135,0.147147481,VMT_0023S_20160927133506.tif,1.614627064,8
0.819726215,-1,VMT_0023S_20160927133506.tif-136,0.180273785,VMT_0023S_20160927133506.tif,1.614627064,8
0.793987968,-1,VMT_0023S_20160927133506.tif-137,0.206012032,VMT_0023S_20160927133506.tif,1.614627064,8
0.785771841,-1,VMT_0023S_20160927133506.tif-138,0.214228159,VMT_0023S_20160927133506.tif,1.614627064,8
0.789781392,-1,VMT_0023S_20160927133506.tif-139,0.210218608,VMT_0023S_20160927133506.tif,1.614627064,8
0.768326697,-1,VMT_0023S_20160927133506.tif-140,0.231673303,VMT_0023S_20160927133506.tif,1.614627064,8
0.740776124,-1,VMT_0023S_20160927133506.tif-141,0.259223876,VMT_0023S_20160927133506.tif,1.614627064,8
